,trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
148,149,BUY,86317.5,2025-03-08,13:30:00,SELL,86061.4,2025-03-08,16:45:00,0.08882686492961606,-22.74856010847519,-0.2966953398789421
149,150,BUY,86190.5,2025-03-08,20:00:00,SELL,85986.2,2025-03-08,22:30:00,0.08853814069263925,-18.088342143506456,-0.23703308369252168
150,151,BUY,86295.7,2025-03-08,23:00:00,SELL,86107.2,2025-03-09,02:15:00,0.08806326034423995,-16.59992457488923,-0.2184349857524767
151,152,BUY,82102.1,2025-03-10,02:30:00,SELL,81429.2,2025-03-10,08:45:00,0.09219370446455409,-62.037143734199255,-0.8195892675096115
152,153,BUY,83185.2,2025-03-10,09:30:00,SELL,80131.3,2025-03-10,14:15:00,0.09011242982685128,-275.1943494482206,-3.6712059356712423
153,154,BUY,79528.0,2025-03-10,22:00:00,SELL,79175.8,2025-03-10,22:45:00,0.0907933541970908,-31.977419348215115,-0.44286289105723403
154,155,BUY,79460.3,2025-03-10,23:00:00,SELL,79200.2,2025-03-10,23:45:00,0.09031612687588517,-23.491224600418256,-0.327333272086823
155,156,BUY,79109.2,2025-03-11,02:45:00,SELL,80629.6,2025-03-11,14:15:00,0.09026289960661567,137.23571256189925,1.921900360514338
156,157,BUY,81586.3,2025-03-11,16:45:00,SELL,82392.6,2025-03-12,03:00:00,0.08895224100216736,71.7221919200478,0.988278669335419
157,158,BUY,82477.4,2025-03-12,08:30:00,SELL,81658.4,2025-03-12,14:45:00,0.08864940240020666,-72.60386056576925,-0.99299929435215
158,159,BUY,82660.4,2025-03-12,18:45:00,SELL,83279.6,2025-03-13,04:45:00,0.08745128320423476,54.149834560063184,0.7490890438468863
159,160,BUY,83263.6,2025-03-13,10:30:00,SELL,83051.0,2025-03-13,10:45:00,0.0872702093186682,-18.55364650114937,-0.2553336632093806
160,161,BUY,81102.2,2025-03-13,22:45:00,SELL,83935.5,2025-03-14,21:15:00,0.0892085334447082,252.754537808892,3.4934933947537834
161,162,BUY,84328.3,2025-03-14,22:45:00,SELL,83954.5,2025-03-14,23:45:00,0.08847727954390362,-33.07280709351143,-0.44326756260947137
162,163,BUY,84415.0,2025-03-15,01:15:00,SELL,84183.2,2025-03-15,06:15:00,0.08784675128152765,-20.362876947058364,-0.27459574720133023
163,164,BUY,84106.4,2025-03-15,12:15:00,SELL,84185.9,2025-03-15,19:30:00,0.08777178089177082,6.97785658089578,0.09452312784758354
164,165,BUY,84353.6,2025-03-15,20:15:00,SELL,84230.3,2025-03-16,00:30:00,0.08742668936881466,-10.779710799175103,-0.14617040647939497
