trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
143,SELL,86978.7,2025-03-05,04:30:00,BUY,87448.1,2025-03-05,07:00:00,0.09315590659195569,-43.727382554264814,-0.539672356565468
144,SELL,88612.1,2025-03-05,15:15:00,BUY,89700.0,2025-03-05,17:45:00,0.09079585646317273,-98.77681224628509,-1.2277104368364977
145,SELL,91497.6,2025-03-06,08:30:00,BUY,89872.6,2025-03-06,22:00:00,0.0867388110837984,140.9505680111724,1.7760028678347848
146,SELL,86995.0,2025-03-07,00:30:00,BUY,88045.1,2025-03-07,06:15:00,0.09259545465081635,-97.23448692882279,-1.2070808667164847
147,SELL,88650.0,2025-03-07,16:15:00,BUY,86587.7,2025-03-08,06:30:00,0.08965142112617637,184.88812578851378,2.3263395375070535
148,SELL,86012.1,2025-03-08,08:15:00,BUY,86317.5,2025-03-08,13:30:00,0.09426928860767855,-28.78984074078448,-0.35506632206398187
149,SELL,86061.4,2025-03-08,16:45:00,BUY,86190.5,2025-03-08,20:00:00,0.09371815948370141,-12.099014389346397,-0.1500091794927875
150,SELL,85986.2,2025-03-08,22:30:00,BUY,86295.7,2025-03-08,23:00:00,0.09348765938456628,-28.934430579523266,-0.359941478981511
151,SELL,86107.2,2025-03-09,02:15:00,BUY,82102.1,2025-03-10,02:30:00,0.09285979968435092,371.91278371579307,4.651295129791691
152,SELL,81429.19999999998,2025-03-10,08:45:00,BUY,83185.2,2025-03-10,09:30:00,0.1023506882030914,-179.72780848462997,-2.1564745815997393
153,SELL,80131.3,2025-03-10,14:15:00,BUY,79528.0,2025-03-10,22:00:00,0.10167847276620151,61.34262261984967,0.7528893204028924
154,SELL,79175.8,2025-03-10,22:45:00,BUY,79460.3,2025-03-10,23:00:00,0.10344664826243345,-29.43057143066232,-0.3593269660679147
155,SELL,79200.2,2025-03-10,23:45:00,BUY,79109.2,2025-03-11,02:45:00,0.10286505060727084,9.360719605261647,0.1148986997507582
156,SELL,80629.6,2025-03-11,14:15:00,BUY,81586.3,2025-03-11,16:45:00,0.10095975782510039,-96.58820031127324,-1.186536954170673
157,SELL,82392.6,2025-03-12,03:00:00,BUY,82477.4,2025-03-12,08:30:00,0.09749873507285213,-8.267892734176726,-0.10292186434217193
158,SELL,81658.4,2025-03-12,14:45:00,BUY,82660.4,2025-03-12,18:45:00,0.09809036900516194,-98.28654974317226,-1.227062984334741
159,SELL,83279.6,2025-03-13,04:45:00,BUY,83263.6,2025-03-13,10:30:00,0.0948760257687887,1.5180164123006192,0.01921238814787775
160,SELL,83051.0,2025-03-13,10:45:00,BUY,81102.2,2025-03-13,22:45:00,0.0949736811659757,185.0847098562537,2.346509975798007
161,SELL,83935.5,2025-03-14,21:15:00,BUY,84328.3,2025-03-14,22:45:00,0.09589112303818251,-37.666033129398365,-0.46797838816710796
162,SELL,83954.5,2025-03-14,23:45:00,BUY,84415.0,2025-03-15,01:15:00,0.09526074196022254,-43.86757167268248,-0.5485113960538148
163,SELL,84183.2,2025-03-15,06:15:00,BUY,84106.4,2025-03-15,12:15:00,0.09432590724148834,7.244229676146579,0.09122960400650357
164,SELL,84185.9,2025-03-15,19:30:00,BUY,84353.6,2025-03-15,20:15:00,0.09422538625121347,-15.801597274329596,-0.19920200413609837
165,SELL,84230.3,2025-03-16,00:30:00,BUY,84317.2,2025-03-16,04:15:00,0.09381849744120893,-8.15282742764051,-0.10316952450602002
166,SELL,84008.9,2025-03-16,07:15:00,BUY,84313.3,2025-03-16,07:45:00,0.09379484969941726,-28.55115224850343,-0.36234256132387016
167,SELL,84149.9,2025-03-16,08:30:00,BUY,84115.6,2025-03-16,16:15:00,0.09313701866686416,3.1945997402723565,0.040760595080907236
168,SELL,83113.7,2025-03-16,19:45:00,BUY,83135.7,2025-03-17,01:45:00,0.09415556661782891,-2.071422465592236,-0.026469763709232052
169,SELL,82868.6,2025-03-17,06:30:00,BUY,83340.2,2025-03-17,07:30:00,0.0942309686398077,-44.43932481053249,-0.5690937218681035
170,SELL,83156.6,2025-03-17,12:30:00,BUY,83499.1,2025-03-17,16:00:00,0.09321923471895346,-31.92758789124156,-0.41187350132160283
171,SELL,83800.1,2025-03-17,23:30:00,BUY,84062.6,2025-03-17,23:45:00,0.09196411457371133,-24.140580075599225,-0.313245449587769
172,SELL,83963.0,2025-03-18,00:00:00,BUY,83247.5,2025-03-18,09:00:00,0.09133788581455037,65.35225730031078,0.8521610709479176
173,SELL,82813.0,2025-03-18,10:00:00,BUY,82273.5,2025-03-18,20:00:00,0.09318065275277568,50.27096216012248,0.65146776472293
174,SELL,85860.0,2025-03-20,03:30:00,BUY,86013.5,2025-03-20,08:45:00,0.09025977242081701,-13.85487506659541,-0.17877940833915676
175,SELL,85508.9,2025-03-20,10:15:00,BUY,86299.9,2025-03-20,14:30:00,0.09030431201080957,-71.43071080055037,-0.9250499070856952
176,SELL,84642.0,2025-03-20,16:00:00,BUY,84468.8,2025-03-21,01:00:00,0.09025313476274877,15.631842940907823,0.2046265447413779
177,SELL,84199.9,2025-03-21,06:15:00,BUY,83976.8,2025-03-21,18:00:00,0.09073139684256726,20.242174635575964,0.26496468523120725
178,SELL,84024.2,2025-03-22,02:00:00,BUY,84135.8,2025-03-22,02:30:00,0.09097735619269909,-10.153072951105747,-0.132818878370762
179,SELL,84199.3,2025-03-22,08:45:00,BUY,84295.5,2025-03-22,09:30:00,0.09050110141541179,-8.70620595616235,-0.11425273131724027
180,SELL,84190.8,2025-03-22,12:00:00,BUY,84201.8,2025-03-22,18:00:00,0.09023982342375363,-0.9926380576612899,-0.013065560607572323
181,SELL,83895.9,2025-03-22,21:00:00,BUY,84023.3,2025-03-23,02:00:00,0.09037371298459645,-11.513611034238377,-0.15185485822311787
182,SELL,87850.0,2025-03-24,21:15:00,BUY,87059.9,2025-03-25,09:45:00,0.086017408641955,67.96235456800915,0.8993739328400749
183,SELL,87672.5,2025-03-25,22:15:00,BUY,87750.1,2025-03-26,01:45:00,0.08676495542511874,-6.732960540989719,-0.08851122073626944
184,SELL,87501.9,2025-03-26,02:15:00,BUY,87530.0,2025-03-26,06:30:00,0.08669577157328817,-2.4361511812099024,-0.03211358839065874
185,SELL,87651.8,2025-03-26,12:45:00,BUY,87242.6,2025-03-26,20:45:00,0.08635663604931258,35.33713547137846,0.46684722960623404
186,SELL,86640.1,2025-03-26,23:30:00,BUY,87088.8,2025-03-27,00:30:00,0.0875869891842045,-39.300282046952304,-0.517889522288175
