trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
116,SELL,140.1,2025-03-01,20:45:00,BUY,140.53,2025-03-01,21:00:00,70.36868026654953,-30.25853251461678,-0.30692362598144673
117,SELL,142.95,2025-03-02,06:00:00,BUY,144.36,2025-03-02,06:45:00,68.63821403979755,-96.77988179611626,-0.9863588667366388
118,SELL,142.65,2025-03-02,08:15:00,BUY,143.93,2025-03-02,10:00:00,67.99713307255267,-87.0363303328675,-0.8973010865755353
119,SELL,142.25,2025-03-02,12:15:00,BUY,151.84,2025-03-02,15:30:00,67.48646093108836,-647.1951603291376,-6.741652021089633
120,SELL,170.5,2025-03-03,02:15:00,BUY,163.79,2025-03-03,13:15:00,52.584070744251406,352.83911469392734,3.9354838709677464
121,SELL,155.08,2025-03-03,15:00:00,BUY,140.48,2025-03-04,14:45:00,59.87412490839321,874.1622236625423,9.414495744132074
122,SELL,135.24,2025-03-04,15:15:00,BUY,137.12,2025-03-04,15:45:00,74.65969940284538,-140.36023487734897,-1.39012126589766
123,SELL,133.11,2025-03-04,16:30:00,BUY,139.37,2025-03-04,17:30:00,74.7131283987564,-467.70418377621434,-4.702877319510172
124,SELL,141.78,2025-03-05,04:00:00,BUY,143.96,2025-03-05,08:15:00,66.8787868026118,-145.79575522969418,-1.5375934546480512
125,SELL,143.18,2025-03-05,13:45:00,BUY,145.38,2025-03-05,19:15:00,65.12603150037809,-143.27726930083105,-1.5365274479675852
126,SELL,148.67,2025-03-06,13:15:00,BUY,142.49,2025-03-07,05:30:00,61.68961829087236,381.24184103758984,4.156857469563448
127,SELL,141.92,2025-03-07,12:45:00,BUY,145.88,2025-03-07,13:45:00,67.05111987252187,-265.52243469518714,-2.7903043968432977
128,SELL,142.97,2025-03-07,16:45:00,BUY,145.28,2025-03-07,18:30:00,64.6706503403996,-149.38920228632324,-1.6157235783730868
129,SELL,141.9,2025-03-07,21:15:00,BUY,137.67,2025-03-08,19:00:00,64.02880325073244,270.8418377505994,2.9809725158562497
130,SELL,136.48,2025-03-08,22:15:00,BUY,137.71,2025-03-09,00:45:00,68.33222026116233,-84.04863092123091,-0.9012309495896969
131,SELL,136.95,2025-03-09,03:15:00,BUY,137.9,2025-03-09,03:45:00,67.38963057520466,-64.02014904644558,-0.6936838262139592
132,SELL,137.63,2025-03-09,10:15:00,BUY,128.25,2025-03-10,05:00:00,66.47719363127717,623.5560762613796,6.815374554966211
133,SELL,127.02,2025-03-10,06:45:00,BUY,128.01,2025-03-10,08:00:00,76.56071790464263,-75.7951107255958,-0.7794048181388717
134,SELL,126.25,2025-03-10,08:45:00,BUY,130.15,2025-03-10,09:30:00,76.31041996154426,-297.610637850023,-3.0891089108910936
135,SELL,126.94000000000001,2025-03-10,10:45:00,BUY,128.23,2025-03-10,11:30:00,73.52793308880435,-94.85103368455597,-1.0162281392783816
136,SELL,124.91,2025-03-10,14:00:00,BUY,120.09,2025-03-11,02:30:00,73.86471839664162,356.0279426718121,3.858778320390676
137,SELL,121.45000000000002,2025-03-11,13:15:00,BUY,124.01,2025-03-11,13:45:00,78.60632243780927,-201.2321854407908,-2.107863318237948
138,SELL,122.67,2025-03-11,14:00:00,BUY,124.93,2025-03-11,16:00:00,76.11671404086476,-172.02377373235475,-1.8423412407271584
139,SELL,125.36,2025-03-11,23:30:00,BUY,124.15000000000002,2025-03-12,08:30:00,73.0311123304654,88.36764591986164,0.9652201659221279
140,SELL,123.45,2025-03-12,15:15:00,BUY,126.48000000000002,2025-03-12,21:15:00,74.70070406041326,-226.34313330305332,-2.454434993924678
141,SELL,124.98,2025-03-13,01:45:00,BUY,126.04000000000002,2025-03-13,02:00:00,71.92980074446467,-76.24558878913373,-0.8481357017122871
142,SELL,125.64,2025-03-13,03:30:00,BUY,125.26000000000002,2025-03-13,09:00:00,70.83890608118266,26.918784310848082,0.3024514485832388
